ID      ROI                                           RED BLUE GREEN A
2109    7Networks_RH_SalVentAttn_FrOperIns_8          198 52  251 0
2110    7Networks_RH_SalVentAttn_PFCl_1               200 57  251 0
2111    7Networks_RH_SalVentAttn_Med_1                200 57  247 0
2112    7Networks_RH_SalVentAttn_Med_2                200 57  248 0
2113    7Networks_RH_SalVentAttn_Med_3                200 57  250 0
2114    7Networks_RH_SalVentAttn_Med_4                200 57  252 0
2115    7Networks_RH_SalVentAttn_Med_5                200 57  253 0
2116    7Networks_RH_SalVentAttn_Med_6                200 57  254 0
2117    7Networks_RH_SalVentAttn_Med_7                200 57  255 0
2118    7Networks_RH_SalVentAttn_Med_8                200 58  249 0
2119    7Networks_RH_Limbic_OFC_1                     224 249 163 0
2120    7Networks_RH_Limbic_OFC_2                     224 249 165 0
2121    7Networks_RH_Limbic_OFC_3                     224 249 166 0
2122    7Networks_RH_Limbic_OFC_4                     224 249 167 0
2123    7Networks_RH_Limbic_OFC_5                     224 249 168 0
2124    7Networks_RH_Limbic_OFC_6                     224 249 169 0
2125    7Networks_RH_Limbic_TempPole_1                224 249 164 0
2126    7Networks_RH_Limbic_TempPole_2                224 249 170 0
2127    7Networks_RH_Limbic_TempPole_3                224 249 171 0
2128    7Networks_RH_Limbic_TempPole_4                224 249 172 0
2129    7Networks_RH_Limbic_TempPole_5                224 250 165 0
2130    7Networks_RH_Limbic_TempPole_6                224 250 166 0
2131    7Networks_RH_Limbic_TempPole_7                224 250 167 0
2132    7Networks_RH_Cont_Par_1                       234 147 33  0
2133    7Networks_RH_Cont_Par_2                       234 147 35  0
2134    7Networks_RH_Cont_Par_3                       234 147 36  0
2135    7Networks_RH_Cont_Par_4                       234 147 37  0
2136    7Networks_RH_Cont_Par_5                       234 147 38  0
2137    7Networks_RH_Cont_Par_6                       234 147 39  0
2138    7Networks_RH_Cont_Temp_1                      234 147 34  0
2139    7Networks_RH_Cont_Temp_2                      234 147 40  0
2140    7Networks_RH_Cont_PFCv_1                      233 148 35  0
2141    7Networks_RH_Cont_PFCl_1                      233 148 27  0
