ID      ROI                                           RED BLUE GREEN A
1115    7Networks_LH_Limbic_OFC_2                     220 248 165 0
1116    7Networks_LH_Limbic_OFC_3                     220 248 166 0
1117    7Networks_LH_Limbic_OFC_4                     220 248 167 0
1118    7Networks_LH_Limbic_OFC_5                     220 248 168 0
1119    7Networks_LH_Limbic_TempPole_1                220 248 164 0
1120    7Networks_LH_Limbic_TempPole_2                220 248 169 0
1121    7Networks_LH_Limbic_TempPole_3                220 248 170 0
1122    7Networks_LH_Limbic_TempPole_4                220 248 171 0
1123    7Networks_LH_Limbic_TempPole_5                220 248 172 0
1124    7Networks_LH_Limbic_TempPole_6                220 249 165 0
1125    7Networks_LH_Limbic_TempPole_7                220 249 166 0
1126    7Networks_LH_Limbic_TempPole_8                220 249 167 0
1127    7Networks_LH_Cont_Par_1                       230 148 33  0
1128    7Networks_LH_Cont_Par_2                       230 148 35  0
1129    7Networks_LH_Cont_Par_3                       230 148 36  0
1130    7Networks_LH_Cont_Par_4                       230 148 37  0
1131    7Networks_LH_Cont_Par_5                       230 148 38  0
1132    7Networks_LH_Cont_Par_6                       230 148 39  0
1133    7Networks_LH_Cont_Temp_1                      230 148 40  0
1134    7Networks_LH_Cont_OFC_1                       230 149 32  0
1135    7Networks_LH_Cont_PFCl_1                      230 149 33  0
1136    7Networks_LH_Cont_PFCl_2                      230 149 34  0
1137    7Networks_LH_Cont_PFCl_3                      230 149 36  0
1138    7Networks_LH_Cont_PFCl_4                      230 149 37  0
1139    7Networks_LH_Cont_PFCl_5                      230 149 38  0
1140    7Networks_LH_Cont_PFCl_6                      230 149 39  0
1141    7Networks_LH_Cont_PFCl_7                      230 149 40  0
1142    7Networks_LH_Cont_PFCl_8                      230 149 41  0
1143    7Networks_LH_Cont_PFCv_1                      231 148 36  0
1144    7Networks_LH_Cont_pCun_1                      231 149 35  0
1145    7Networks_LH_Cont_pCun_2                      231 149 36  0
1146    7Networks_LH_Cont_Cing_1                      231 149 37  0
1147    7Networks_LH_Cont_Cing_2                      231 149 38  0
1148    7Networks_LH_Cont_PFCmp_1                     230 148 34  0
1149    7Networks_LH_Default_Temp_1                   205 62  72  0
